si_code,lati,long,PET
CHE_LOT_NOR,46.391783333333336,7.761333333333333,591.4197068775158
CHE_PFY_CON,46.3,7.6,796.9852470118778
CHE_PFY_IRR,46.3,7.6,796.9852470118778
CHN_ARG_GWD,40.75416667,89.98555556,1305.0006301598446
CHN_ARG_GWS,41.38166667,89.93833333,1109.9805873017626
CHN_HOR_AFF,42.71666666666667,122.36666666666666,923.2512687930783
CHN_YIN_ST1,42.45444444,85.71666667,676.4213307274445
CHN_YIN_ST2_DRO,42.11444444,85.13111111,841.9416655942676
CHN_YIN_ST3_DRO,42.28833333,85.98833333,1069.2656933510773
CHN_YUN_YUN,23.92071944,117.4180278,993.3324040180099
COL_MAC_SAF_RAD,1.501111,-75.36106,1640.301687917657
CRI_TAM_TOW,10.386944444444444,-84.62583333333333,1534.1028788216584
CZE_BIK,49.49444444444445,18.53,697.0933987362274
